Record Length;1024;Points;0;-33,34850311;
Sample Interval;12,3303347;Hz;12,3303347;-30,94850159;
Trigger Point;0;Samples;24,66066933;-37,34850311;
;;;36,99100494;-74,94850159;
;;;49,32133865;-74,94850159;
;;;61,65167236;-74,94850159;
Source;MATH;;73,98200989;-72,54850006;
Vertical Units;dB;;86,31233978;-68,54850006;
Vertical Scale;10,0000001;;98,64267731;-72,54850006;
Vertical Offset;-34;9485;;110,9730148;-74,94850159
Horizontal Units;Hz;;123,3033447;-72,54850006;
Horizontal Scale;1,26E+03;;135,6336823;-74,94850159;
Pt Fmt;Y;;147,9640198;-74,94850159;
Yzero;0;;160,2943573;-74,94850159;
;;;172,6246796;-74,94850159;
;;;184,9550171;-74,94850159;
Note;TDS 2012B - 11:36:30 a. m.   29/07/2026;;197,2853546;-72,54850006;
;;;209,6156921;-74,94850159;
;;;221,9460297;-74,94850159;
;;;234,2763519;-74,94850159;
;;;246,6066895;-74,94850159;
;;;258,9370422;-69,34850311;
;;;271,2673645;-72,54850006;
;;;283,5976868;-74,94850159;
;;;295,9280396;-74,94850159;
;;;308,2583618;-74,94850159;
;;;320,5887146;-74,94850159;
;;;332,9190369;-74,94850159;
;;;345,2493591;-74,94850159;
;;;357,5797119;-74,94850159;
;;;369,9100342;-74,94850159;
;;;382,240387;-74,94850159;
;;;394,5707092;-74,94850159;
;;;406,9010315;-72,54850006;
;;;419,2313843;-74,94850159;
;;;431,5617065;-68,54850006;
;;;443,8920593;-64,14849854;
;;;456,2223816;-64,14849854;
;;;468,5527039;-65,34850311;
;;;480,8830566;-74,94850159;
;;;493,2133789;-74,94850159;
;;;505,5437317;-72,54850006;
;;;517,8740845;-72,54850006;
;;;530,2044067;-72,54850006;
;;;542,534729;-74,94850159;
;;;554,8650513;-74,94850159;
;;;567,1953735;-74,94850159;
;;;579,5257568;-72,54850006;
;;;591,8560791;-69,34850311;
;;;604,1864014;-72,54850006;
;;;616,5167236;-68,54850006;
;;;628,8470459;-72,54850006;
;;;641,1774292;-72,54850006;
;;;653,5077515;-72,54850006;
;;;665,8380737;-68,54850006;
;;;678,168396;-74,94850159;
;;;690,4987183;-74,94850159;
;;;702,8291016;-74,94850159;
;;;715,1594238;-69,34850311;
;;;727,4897461;-69,34850311;
;;;739,8200684;-61,34850311;
;;;752,1503906;-56,14850235;
;;;764,4807739;-42,94850159;
;;;776,8110962;-16,1485004;
;;;789,1414185;-10,548501;
;;;801,4717407;-10,1485014;
;;;813,802063;-11,3485012;
;;;826,1324463;-18,9485016;
;;;838,4627686;-46,94850159;
;;;850,7930908;-56,14850235;
;;;863,1234131;-65,34850311;
;;;875,4537354;-68,54850006;
;;;887,7841187;-72,54850006;
;;;900,1144409;-74,94850159;
;;;912,4447632;-74,94850159;
;;;924,7750854;-74,94850159;
;;;937,1054077;-74,94850159;
;;;949,435791;-74,94850159;
;;;961,7661133;-74,94850159;
;;;974,0964355;-74,94850159;
;;;986,4267578;-74,94850159;
;;;998,7570801;-72,54850006;
;;;1,01E+03;-74,94850159;
;;;1,02E+03;-69,34850311;
;;;1,04E+03;-69,34850311;
;;;1,05E+03;-74,94850159;
;;;1,06E+03;-74,94850159;
;;;1,07E+03;-74,94850159;
;;;1,09E+03;-72,54850006;
;;;1,10E+03;-74,94850159;
;;;1,11E+03;-74,94850159;
;;;1,12E+03;-74,94850159;
;;;1,13E+03;-72,54850006;
;;;1,15E+03;-72,54850006;
;;;1,16E+03;-72,54850006;
;;;1,17E+03;-69,34850311;
;;;1,18E+03;-72,54850006;
;;;1,20E+03;-72,54850006;
;;;1,21E+03;-74,94850159;
;;;1,22E+03;-74,94850159;
;;;1,23E+03;-69,34850311;
;;;1,25E+03;-68,54850006;
;;;1,26E+03;-69,34850311;
;;;1,27E+03;-68,54850006;
;;;1,28E+03;-72,54850006;
;;;1,29E+03;-74,94850159;
;;;1,31E+03;-74,94850159;
;;;1,32E+03;-72,54850006;
;;;1,33E+03;-72,54850006;
;;;1,34E+03;-74,94850159;
;;;1,36E+03;-74,94850159;
;;;1,37E+03;-74,94850159;
;;;1,38E+03;-72,54850006;
