Record Length;2500;Points;-2,50E-03;1,6
Sample Interval;2,00E-06;s;-2,50E-03;1,608
Trigger Point;1,25E+03;Samples;-2,50E-03;1,608
;;;-2,49E-03;1,608
;;;-2,49E-03;1,6160001
;;;-2,49E-03;1,6240001
Source;CH1;;-2,49E-03;1,6240001
Vertical Units;Volts;;-2,49E-03;1,6240001
Vertical Scale;2,00E-01;;-2,48E-03;1,6240001
Vertical Offset;0;;-2,48E-03;1,6320001
Horizontal Units;s;;-2,48E-03;1,6320001
Horizontal Scale;5,00E-04;;-2,48E-03;1,6400001
Pt Fmt;Y;;-2,48E-03;1,6400001
Yzero;-7,72;;-2,47E-03;1,6480001
Probe Atten;1;;-2,47E-03;1,6480001
;;;-2,47E-03;1,6480001
Note;TDS 2012B - 11:34:37 a. m.   29/07/2026;;-2,47E-03;1,6560001
;;;-2,47E-03;1,664
;;;-2,46E-03;1,664
;;;-2,46E-03;1,664
;;;-2,46E-03;1,664
;;;-2,46E-03;1,6720001
;;;-2,46E-03;1,6720001
;;;-2,45E-03;1,6800001
;;;-2,45E-03;1,6800001
;;;-2,45E-03;1,6880001
;;;-2,45E-03;1,6880001
;;;-2,45E-03;1,6960001
;;;-2,44E-03;1,6960001
;;;-2,44E-03;1,7040001
;;;-2,44E-03;1,7120001
;;;-2,44E-03;1,7120001
;;;-2,44E-03;1,7120001
;;;-2,43E-03;1,7120001
;;;-2,43E-03;1,72
;;;-2,43E-03;1,72
;;;-2,43E-03;1,72
;;;-2,43E-03;1,7360001
;;;-2,42E-03;1,728
;;;-2,42E-03;1,7360001
;;;-2,42E-03;1,7360001
;;;-2,42E-03;1,7360001
;;;-2,42E-03;1,7440001
;;;-2,41E-03;1,7520001
;;;-2,41E-03;1,7520001
;;;-2,41E-03;1,7520001
;;;-2,41E-03;1,7600001
;;;-2,41E-03;1,7680001
;;;-2,40E-03;1,7680001
;;;-2,40E-03;1,7680001
;;;-2,40E-03;1,7760001
;;;-2,40E-03;1,7760001
;;;-2,40E-03;1,784
;;;-2,39E-03;1,784
;;;-2,39E-03;1,784
;;;-2,39E-03;1,7920001
;;;-2,39E-03;1,8000001
;;;-2,39E-03;1,8000001
;;;-2,38E-03;1,8000001
;;;-2,38E-03;1,8080001
;;;-2,38E-03;1,8080001
;;;-2,38E-03;1,8080001
;;;-2,38E-03;1,8160001
;;;-2,37E-03;1,8160001
;;;-2,37E-03;1,8240001
;;;-2,37E-03;1,8240001
;;;-2,37E-03;1,8240001
;;;-2,37E-03;1,8240001
;;;-2,36E-03;1,8320001
;;;-2,36E-03;1,84
;;;-2,36E-03;1,84
;;;-2,36E-03;1,84
;;;-2,36E-03;1,848
;;;-2,35E-03;1,8560001
;;;-2,35E-03;1,8560001
;;;-2,35E-03;1,8560001
;;;-2,35E-03;1,8560001
;;;-2,35E-03;1,8640001
;;;-2,34E-03;1,8640001
;;;-2,34E-03;1,8720001
;;;-2,34E-03;1,8800001
;;;-2,34E-03;1,8800001
;;;-2,34E-03;1,8800001
;;;-2,33E-03;1,8800001
;;;-2,33E-03;1,8880001
;;;-2,33E-03;1,8960001
;;;-2,33E-03;1,8880001
;;;-2,33E-03;1,8960001
;;;-2,32E-03;1,8960001
;;;-2,32E-03;1,904
;;;-2,32E-03;1,904
;;;-2,32E-03;1,904
;;;-2,32E-03;1,9120001
;;;-2,31E-03;1,9200001
;;;-2,31E-03;1,9200001
;;;-2,31E-03;1,9200001
;;;-2,31E-03;1,9280001
;;;-2,31E-03;1,9280001
;;;-2,30E-03;1,9360001
;;;-2,30E-03;1,9360001
;;;-2,30E-03;1,9360001
;;;-2,30E-03;1,9440001
;;;-2,30E-03;1,9440001
;;;-2,29E-03;1,9520001
;;;-2,29E-03;1,96
;;;-2,29E-03;1,96
;;;-2,29E-03;1,96
;;;-2,29E-03;1,9680001
;;;-2,28E-03;1,9680001
;;;-2,28E-03;1,9760001
;;;-2,28E-03;1,9760001
;;;-2,28E-03;1,9840001
;;;-2,28E-03;1,9840001
;;;-2,27E-03;1,9920001
;;;-2,27E-03;1,9840001
;;;-2,27E-03;1,9920001
;;;-2,27E-03;2
;;;-2,27E-03;2
;;;-2,26E-03;2,0080001
;;;-2,26E-03;2,0080001
;;;-2,26E-03;2,0080001
;;;-2,26E-03;2,016
;;;-2,26E-03;2,0240002
;;;-2,25E-03;2,0240002
