Record Length;1024;Points;0;-14,1485014
Sample Interval;12,3303347;Hz;12,3303347;-11,7485008
Trigger Point;0;Samples;24,66066933;-18,548502
;;;36,99100494;-52,14850235
;;;49,32133865;-50,54850006
;;;61,65167236;-52,14850235
Source;MATH;;73,98200989;-56,94850159
Vertical Units;dB;;86,31233978;-62,94850159
Vertical Scale;10,0000001;;98,64267731;-56,14850235
Vertical Offset;-34;9485;110,9730148;-58,94850159
Horizontal Units;Hz;;123,3033447;-56,54850006
Horizontal Scale;1,26E+03;;135,6336823;-50,94850159
Pt Fmt;Y;;147,9640198;-48,94850159
Yzero;0;;160,2943573;-50,94850159
;;;172,6246796;-57,34850311
;;;184,9550171;-65,34850311
Note;TDS 2012B - 02:44:53 p. m.   30/07/2026;;197,2853546;-57,34850311
;;;209,6156921;-56,54850006
;;;221,9460297;-55,74850082
;;;234,2763519;-47,74850082
;;;246,6066895;-46,14850235
;;;258,9370422;-46,94850159
;;;271,2673645;-53,74850082
;;;283,5976868;-74,94850159
;;;295,9280396;-60,14850235
;;;308,2583618;-53,34850311
;;;320,5887146;-51,74850082
;;;332,9190369;-39,34850311
;;;345,2493591;-37,34850311
;;;357,5797119;-37,74850082
;;;369,9100342;-42,14850235
;;;382,240387;-63,34850311
;;;394,5707092;-58,94850159
;;;406,9010315;-55,74850082
;;;419,2313843;-50,94850159
;;;431,5617065;-40,14850235
;;;443,8920593;-37,74850082
;;;456,2223816;-38,14850235
;;;468,5527039;-39,74850082
;;;480,8830566;-49,34850311
;;;493,2133789;-63,34850311
;;;505,5437317;-53,74850082
;;;517,8740845;-54,14850235
;;;530,2044067;-50,54850006
;;;542,534729;-47,34850311
;;;554,8650513;-48,94850159
;;;567,1953735;-48,14850235
;;;579,5257568;-49,34850311
;;;591,8560791;-54,14850235
;;;604,1864014;-51,74850082
;;;616,5167236;-51,74850082
;;;628,8470459;-53,74850082
;;;641,1774292;-51,34850311
;;;653,5077515;-54,54850006
;;;665,8380737;-52,54850006
;;;678,168396;-46,54850006
;;;690,4987183;-46,14850235
;;;702,8291016;-45,74850082
;;;715,1594238;-45,74850082
;;;727,4897461;-52,14850235
;;;739,8200684;-51,34850311
;;;752,1503906;-57,34850311
;;;764,4807739;-41,34850311
;;;776,8110962;-14,548501
;;;789,1414185;-8,948501587
;;;801,4717407;-8,548501015
;;;813,802063;-9,348501205
;;;826,1324463;-17,3485012
;;;838,4627686;-48,54850006
;;;850,7930908;-49,74850082
;;;863,1234131;-69,34850311
;;;875,4537354;-55,34850311
;;;887,7841187;-44,94850159
;;;900,1144409;-43,34850311
;;;912,4447632;-44,54850006
;;;924,7750854;-50,94850159
;;;937,1054077;-54,94850159
;;;949,435791;-53,34850311
;;;961,7661133;-61,34850311
;;;974,0964355;-63,34850311
;;;986,4267578;-50,94850159
;;;998,7570801;-48,14850235
;;;1,01E+03;-48,94850159
;;;1,02E+03;-53,74850082
;;;1,04E+03;-55,74850082
;;;1,05E+03;-52,94850159
;;;1,06E+03;-58,14850235
;;;1,07E+03;-65,34850311
